part_id,part_name,material,weight_kg,designer,created_date
P1100,Part_P1100,Aluminum,4.62,Rahul,2026-01-11
P1101,Part_P1101,Aluminum,3.26,Neha,2026-01-11
P1102,Part_P1102,Carbon Steel,1.43,Rahul,2026-01-11
P1103,Part_P1103,Aluminum,2.49,Rahul,2026-01-11
P1104,Part_P1104,Alloy,4.27,Rahul,2026-01-11
P1105,Part_P1105,Aluminum,2.9,Ravi,2026-01-11
P1106,Part_P1106,Aluminum,4.83,Neha,2026-01-11
P1107,Part_P1107,Iron,2.22,Amit,2026-01-11
P1108,Part_P1108,Iron,4.56,Neha,2026-01-11
P1109,Part_P1109,Steel,2.45,Ankit,2026-01-11
P1110,Part_P1110,Alloy,3.83,Amit,2026-01-11
P1111,Part_P1111,Steel,1.34,Rahul,2026-01-11
P1112,Part_P1112,Iron,4.65,Ravi,2026-01-11
P1113,Part_P1113,Iron,2.53,Ankit,2026-01-11
P1114,Part_P1114,Aluminum,1.72,Neha,2026-01-11
P1115,Part_P1115,Carbon Steel,2.96,Amit,2026-01-11
P1116,Part_P1116,Alloy,1.11,Rahul,2026-01-11
P1117,Part_P1117,Carbon Steel,2.62,Ankit,2026-01-11
P1118,Part_P1118,Aluminum,3.49,Ankit,2026-01-11
P1119,Part_P1119,Alloy,1.67,Ravi,2026-01-11
P1120,Part_P1120,Steel,4.28,Ravi,2026-01-11
P1121,Part_P1121,Steel,3.25,Neha,2026-01-11
P1122,Part_P1122,Carbon Steel,4.25,Amit,2026-01-11
P1123,Part_P1123,Steel,3.03,Rahul,2026-01-11
P1124,Part_P1124,Iron,4.49,Ravi,2026-01-11
P1125,Part_P1125,Carbon Steel,4.92,Neha,2026-01-11
P1126,Part_P1126,Carbon Steel,3.41,Amit,2026-01-11
P1127,Part_P1127,Carbon Steel,1.87,Amit,2026-01-11
P1128,Part_P1128,Aluminum,3.77,Ravi,2026-01-11
P1129,Part_P1129,Alloy,3.32,Amit,2026-01-11
P1130,Part_P1130,Aluminum,2.51,Ravi,2026-01-11
P1131,Part_P1131,Aluminum,2.8,Ravi,2026-01-11
P1132,Part_P1132,Carbon Steel,2.98,Ankit,2026-01-11
P1133,Part_P1133,Aluminum,3.55,Neha,2026-01-11
P1134,Part_P1134,Alloy,2.72,Ankit,2026-01-11
P1135,Part_P1135,Iron,3.96,Neha,2026-01-11
P1136,Part_P1136,Iron,4.98,Amit,2026-01-11
P1137,Part_P1137,Steel,3.61,Neha,2026-01-11
P1138,Part_P1138,Carbon Steel,2.15,Amit,2026-01-11
P1139,Part_P1139,Alloy,4.53,Rahul,2026-01-11
P1140,Part_P1140,Alloy,3.69,Ravi,2026-01-11
P1141,Part_P1141,Alloy,4.44,Amit,2026-01-11
P1142,Part_P1142,Carbon Steel,3.48,Ravi,2026-01-11
P1143,Part_P1143,Iron,2.71,Ravi,2026-01-11
P1144,Part_P1144,Iron,4.4,Rahul,2026-01-11
P1145,Part_P1145,Aluminum,3.1,Ravi,2026-01-11
P1146,Part_P1146,Iron,3.53,Amit,2026-01-11
P1147,Part_P1147,Alloy,3.19,Rahul,2026-01-11
P1148,Part_P1148,Aluminum,4.46,Ankit,2026-01-11
P1149,Part_P1149,Steel,2.12,Ravi,2026-01-11
P1150,Part_P1150,Steel,4.11,Neha,2026-01-11
P1151,Part_P1151,Iron,3.98,Amit,2026-01-11
P1152,Part_P1152,Carbon Steel,4.97,Amit,2026-01-11
P1153,Part_P1153,Iron,4.79,Ravi,2026-01-11
P1154,Part_P1154,Aluminum,1.71,Ankit,2026-01-11
P1155,Part_P1155,Steel,2.6,Amit,2026-01-11
P1156,Part_P1156,Carbon Steel,1.25,Rahul,2026-01-11
P1157,Part_P1157,Carbon Steel,1.82,Amit,2026-01-11
P1158,Part_P1158,Carbon Steel,1.68,Neha,2026-01-11
P1159,Part_P1159,Carbon Steel,4.34,Rahul,2026-01-11
P1160,Part_P1160,Alloy,3.07,Amit,2026-01-11
P1161,Part_P1161,Alloy,3.25,Rahul,2026-01-11
P1162,Part_P1162,Steel,4.5,Neha,2026-01-11
P1163,Part_P1163,Carbon Steel,1.2,Neha,2026-01-11
P1164,Part_P1164,Steel,1.04,Amit,2026-01-11
P1165,Part_P1165,Alloy,3.33,Rahul,2026-01-11
P1166,Part_P1166,Steel,4.43,Rahul,2026-01-11
P1167,Part_P1167,Iron,2.71,Ravi,2026-01-11
P1168,Part_P1168,Steel,4.08,Ravi,2026-01-11
P1169,Part_P1169,Iron,3.11,Ankit,2026-01-11
P1170,Part_P1170,Alloy,4.98,Rahul,2026-01-11
