part_id,part_name,material,weight_kg,designer,created_date
P20859,Suspension Arm,Aluminum,26.1,Suresh,2024-03-10
P14459,Camshaft,Stainless Steel,20.09,Ravi,2024-03-10
P11972,Brake Disc,Carbon Steel,8.2,Lakshmi,2024-03-31
P12381,Brake Disc,Brass,21.86,Lakshmi,2024-03-08
P11271,Bearing Housing,Magnesium,3.75,Ravi,2024-03-24
P4043,Timing Belt,Magnesium,14.53,Suresh,2024-03-13
P3187,Rocker Arm,Stainless Steel,3.25,Ankit,2024-03-29
P1233,Tie Rod End,Cast Iron,4.35,Kavitha,2024-03-25
P9728,Differential Gear,Titanium,13.06,Neha,2024-03-08
P12175,Camshaft,Cast Iron,43.45,Deepak,2024-03-10
P9877,Brake Disc,Stainless Steel,25.14,Ravi,2024-03-06
P14427,Valve Spring,Steel,10.05,Kavitha,2024-03-20
P7730,Axle Rod,Titanium,31.19,Neha,2024-03-09
P7928,Brake Disc,Aluminum,49.72,Kavitha,2024-03-06
P6028,Piston Ring,Carbon Steel,42.31,Arun,2024-03-18
P4647,Torque Rod,Brass,18.54,Meena,2024-03-20
P19282,Tie Rod End,Stainless Steel,37.11,Ravi,2024-03-21
P6730,Torque Rod,Cast Iron,13.26,Amit,2024-03-30
P7079,Steering Rack,Aluminum,11.71,Neha,2024-03-16
P13031,Axle Rod,Iron,4.93,Ravi,2024-03-07
P7795,Gear Shaft,Copper Alloy,12.62,Meena,2024-03-10
P10899,Tie Rod End,Carbon Steel,27.89,Amit,2024-03-14
P16288,Steering Rack,Aluminum,31.12,Deepak,2024-03-04
P8505,Suspension Arm,Magnesium,45.72,Neha,2024-03-04
P11674,Rocker Arm,Aluminum,42.1,Ankit,2024-03-14
P12029,Flywheel,Magnesium,34.16,Neha,2024-03-22
P12419,Bearing Housing,Titanium,10.71,Amit,2024-03-06
P12913,Differential Gear,Cast Iron,41.53,Ankit,2024-03-02
P13345,Bearing Housing,Stainless Steel,8.86,Meena,2024-03-24
P18347,Flywheel,Titanium,6.95,Deepak,2024-03-05
P1802,Flywheel,Stainless Steel,34.64,Kavitha,2024-03-05
P1376,Gear Shaft,Cast Iron,2.83,Deepak,2024-03-05
P19512,Piston Ring,Carbon Steel,29.21,Ravi,2024-03-08
P6982,Drive Shaft,Brass,32.58,Rahul,2024-03-11
P4083,Steering Rack,Stainless Steel,30.42,Ankit,2024-03-23
P13137,Clutch Plate,Carbon Steel,1.88,Amit,2024-03-13
P12717,Piston Ring,Steel,21.36,Meena,2024-03-04
P14656,Bearing Housing,Magnesium,13.02,Meena,2024-03-10
P4641,Crankshaft,Aluminum,7.84,Ankit,2024-03-25
P18642,Clutch Plate,Carbon Steel,8.99,Rahul,2024-03-22
P11365,Bearing Housing,Steel,14.37,Deepak,2024-03-13
P13161,Tie Rod End,Carbon Steel,21.49,Suresh,2024-03-12
P11000,Ball Joint,Copper Alloy,9.18,Amit,2024-03-11
P4147,Steering Rack,Titanium,3.37,Amit,2024-03-22
P12622,Rocker Arm,Stainless Steel,2.99,Priya,2024-03-02
P1113,Timing Belt,Brass,29.98,Meena,2024-03-07
P20001,Drive Shaft,Carbon Steel,26.07,Amit,2024-03-03
P4431,Brake Disc,Cast Iron,36.79,Meena,2024-03-01
P15811,Brake Disc,Copper Alloy,37.01,Deepak,2024-03-28
P16672,Camshaft,Stainless Steel,46.12,Ravi,2024-03-15
P3834,Knuckle,Stainless Steel,36.01,Ravi,2024-03-04
P17729,Bearing Housing,Aluminum,22.61,Neha,2024-03-30
P2519,Torque Rod,Titanium,45.4,Ankit,2024-03-05
P19916,Torque Rod,Carbon Steel,9.67,Deepak,2024-03-15
P7527,Differential Gear,Stainless Steel,4.71,Priya,2024-03-18
P20915,Bearing Housing,Titanium,37.41,Rahul,2024-03-23
P6223,Piston Ring,Titanium,22.76,Suresh,2024-03-01
P1647,Suspension Arm,Carbon Steel,23.89,Kavitha,2024-03-06
P11099,Crankshaft,Iron,41.27,Ankit,2024-03-25
P11831,Torque Rod,Magnesium,38.83,Lakshmi,2024-03-01
P1932,Drive Shaft,Cast Iron,21.44,Deepak,2024-03-17
P18842,Axle Rod,Titanium,18.96,Suresh,2024-03-03
P15122,Clutch Plate,Copper Alloy,44.37,Neha,2024-03-13
P9366,Axle Rod,Magnesium,9.29,Ravi,2024-03-08
P14349,Flywheel,Brass,22.25,Ravi,2024-03-30
P12616,Flywheel,Cast Iron,5.52,Rahul,2024-03-03
P14366,Suspension Arm,Iron,26.48,Kavitha,2024-03-12
P3356,Suspension Arm,Stainless Steel,35.9,Ankit,2024-03-25
P20950,Camshaft,Copper Alloy,48.89,Kavitha,2024-03-28
P15795,Piston Ring,Carbon Steel,24.01,Priya,2024-03-09
P5192,Torque Rod,Steel,48.42,Priya,2024-03-17
