part_id,part_name,material,weight_kg,designer,created_date
P1096,Gear Shaft,Carbon Steel,2.35,Ravi,2023-05-08
P10335,Knuckle,Brass,48.68,Priya,2023-05-04
P20309,Clutch Plate,Titanium,27.14,Arun,2023-05-24
P5617,Ball Joint,Magnesium,32.39,Rahul,2023-05-11
P19246,Ball Joint,Copper Alloy,7.09,Ravi,2023-05-24
P13012,Rocker Arm,Brass,47.47,Arun,2023-05-20
P6142,Rocker Arm,Magnesium,46.32,Rahul,2023-05-11
P12055,Axle Rod,Cast Iron,3.39,Deepak,2023-05-04
P19977,Rocker Arm,Brass,19.69,Ravi,2023-05-05
P11338,Knuckle,Brass,0.55,Meena,2023-05-19
P16854,Bearing Housing,Stainless Steel,44.14,Lakshmi,2023-05-04
P18573,Tie Rod End,Copper Alloy,0.26,Suresh,2023-05-30
P16149,Flywheel,Cast Iron,9.17,Meena,2023-05-31
P11191,Crankshaft,Stainless Steel,17.59,Kavitha,2023-05-21
P13422,Axle Rod,Titanium,26.01,Lakshmi,2023-05-30
P15430,Brake Disc,Aluminum,25.0,Meena,2023-05-22
P11207,Steering Rack,Iron,35.97,Priya,2023-05-04
P3459,Differential Gear,Magnesium,12.51,Suresh,2023-05-12
P11840,Brake Disc,Cast Iron,30.75,Deepak,2023-05-26
P1262,Suspension Arm,Copper Alloy,14.11,Ravi,2023-05-03
P7426,Flywheel,Copper Alloy,25.91,Deepak,2023-05-23
P4516,Rocker Arm,Steel,15.14,Arun,2023-05-13
P1948,Crankshaft,Magnesium,40.8,Lakshmi,2023-05-03
P14098,Steering Rack,Steel,36.05,Rahul,2023-05-15
P7422,Drive Shaft,Copper Alloy,39.77,Deepak,2023-05-25
P1201,Rocker Arm,Cast Iron,9.16,Amit,2023-05-17
P15345,Axle Rod,Titanium,3.43,Deepak,2023-05-25
P19555,Differential Gear,Titanium,41.95,Meena,2023-05-25
P4424,Drive Shaft,Titanium,12.67,Kavitha,2023-05-05
P19122,Tie Rod End,Iron,46.17,Neha,2023-05-02
P17638,Steering Rack,Carbon Steel,27.79,Suresh,2023-05-06
P15557,Suspension Arm,Stainless Steel,26.7,Kavitha,2023-05-30
P14442,Suspension Arm,Titanium,3.73,Ravi,2023-05-25
P10572,Timing Belt,Brass,2.71,Kavitha,2023-05-11
P17657,Crankshaft,Copper Alloy,34.6,Kavitha,2023-05-23
P11877,Brake Disc,Steel,10.76,Meena,2023-05-25
P6247,Flywheel,Steel,43.66,Priya,2023-05-20
P11410,Differential Gear,Aluminum,41.94,Ankit,2023-05-28
P10450,Ball Joint,Magnesium,16.69,Suresh,2023-05-14
P5277,Flywheel,Magnesium,1.72,Ankit,2023-05-28
P12072,Ball Joint,Cast Iron,35.06,Amit,2023-05-13
P20217,Drive Shaft,Cast Iron,18.11,Arun,2023-05-03
P6316,Differential Gear,Copper Alloy,21.27,Amit,2023-05-23
P1284,Ball Joint,Copper Alloy,26.59,Lakshmi,2023-05-30
P20415,Steering Rack,Aluminum,46.71,Suresh,2023-05-09
P17816,Drive Shaft,Stainless Steel,32.33,Arun,2023-05-19
P14111,Valve Spring,Carbon Steel,7.61,Kavitha,2023-05-15
P20973,Ball Joint,Titanium,47.57,Suresh,2023-05-16
P12785,Piston Ring,Steel,31.24,Meena,2023-05-11
P6451,Gear Shaft,Steel,20.15,Suresh,2023-05-02
P19323,Rocker Arm,Copper Alloy,31.83,Priya,2023-05-31
P4665,Piston Ring,Copper Alloy,29.13,Arun,2023-05-01
P13668,Flywheel,Steel,39.69,Priya,2023-05-06
P1596,Camshaft,Aluminum,41.56,Rahul,2023-05-06
P2401,Crankshaft,Copper Alloy,47.03,Amit,2023-05-07
P8208,Torque Rod,Cast Iron,44.38,Lakshmi,2023-05-01
P16412,Timing Belt,Steel,12.28,Rahul,2023-05-23
P7644,Differential Gear,Stainless Steel,20.09,Ankit,2023-05-26
P9458,Valve Spring,Steel,1.96,Kavitha,2023-05-05
P1626,Drive Shaft,Magnesium,21.03,Priya,2023-05-05
P18818,Ball Joint,Magnesium,36.99,Suresh,2023-05-10
P11944,Bearing Housing,Brass,39.8,Lakshmi,2023-05-04
P6936,Gear Shaft,Titanium,31.2,Arun,2023-05-02
P17920,Piston Ring,Magnesium,8.05,Suresh,2023-05-03
P3236,Piston Ring,Magnesium,9.19,Rahul,2023-05-24
P17424,Axle Rod,Titanium,45.16,Priya,2023-05-29
P2780,Piston Ring,Brass,37.58,Rahul,2023-05-15
P5026,Suspension Arm,Aluminum,10.37,Priya,2023-05-27
